rawfile,character/char_rus_r_ppsh.gsc
xmodel,char_rus_guard_body1_1
xmodel,char_rus_guard_head1_1
xmodelalias,char_rus_guard_helmalias
xmodelalias,char_rus_guard_gearalias
xmodel,char_rus_guard_body1_g_upclean
xmodelalias,char_rus_guard_g_rarmoffalias
xmodelalias,char_rus_guard_g_larmoffalias
xmodelalias,char_rus_guard_g_torsoalias
xmodel,char_rus_guard_body1_g_behead
xmodel,char_rus_guard_body1_g_lowclean
xmodelalias,char_rus_guard_g_rlegoffalias
xmodelalias,char_rus_guard_g_llegoffalias
xmodelalias,char_rus_guard_g_legsoffalias
xmodel,char_rus_guard_body1_g_rarmspawn
xmodel,char_rus_guard_body1_g_larmspawn
xmodel,char_rus_guard_body1_g_rlegspawn
xmodel,char_rus_guard_body1_g_llegspawn
rawfile,character/clientscripts/char_rus_r_ppsh.csc
