rawfile,character/c_usa_jungmar_sarge1.gsc
xmodel,c_usa_jungmar_body_drab
xmodel,c_usa_jungmar_head_sarge1
xmodel,c_usa_jungmar_gear3
xmodel,c_usa_jungmar_body_g_upclean
xmodel,c_usa_jungmar_body_g_upclean
xmodel,c_usa_jungmar_body_g_upclean
xmodel,c_usa_jungmar_body_g_upclean
xmodel,c_usa_jungmar_body_g_llegoff
xmodel,c_usa_jungmar_body_g_llegoff
xmodel,c_usa_jungmar_body_g_llegoff
xmodel,c_usa_jungmar_body_g_llegoff
xmodel,c_usa_jungmar_body_g_llegspawn
xmodel,c_usa_jungmar_body_g_llegspawn
xmodel,c_usa_jungmar_body_g_llegspawn
xmodel,c_usa_jungmar_body_g_llegspawn
rawfile,character/clientscripts/c_usa_jungmar_sarge1.csc
